"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @do_ra_dong: Sebenarnya yang justru dikuatirkan adalah keselamatan Prabowo Subianto dan timnya 

Sudah dikriminalisasi, handphonenya dik…",FALSE,0,NA,2019-05-29 15:47:55,FALSE,NA,"1133761899135246337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brigade_Diavolo",1026,TRUE,FALSE,NA,NA
"RT @tvOneNews: Sejumlah orang yang menamakan dirinya sebagai aktivis 98 melaporkan Capres 02 Prabowo Subianto dan sejumlah tokoh lain ke Ba…",FALSE,0,NA,2019-05-29 15:46:46,FALSE,NA,"1133761610936250368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrF34820603",18,TRUE,FALSE,NA,NA
"RT @do_ra_dong: Sebenarnya yang justru dikuatirkan adalah keselamatan Prabowo Subianto dan timnya 

Sudah dikriminalisasi, handphonenya dik…",FALSE,0,NA,2019-05-29 15:46:32,FALSE,NA,"1133761549007327233",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TSOlusion",1026,TRUE,FALSE,NA,NA
"RT @Ayaniulva: *Tentang Prabowo Subianto: Indonesia Bisa Bubar Dan Punah*

*Dr. Ahmad Yani*
Politisi dan Praktisi Hukum

*Tulisan 21 Desemb…",FALSE,0,NA,2019-05-29 15:43:23,FALSE,NA,"1133760757819043840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aryarevanda",120,TRUE,FALSE,NA,NA
"RT @Ericssenw: 2019 Indonesian Presidential Election Map by regency and city (county).
Peta Kemenangan Pilpres 2019 berdasarkan Kabupaten/K…",FALSE,0,NA,2019-05-29 15:41:39,FALSE,NA,"1133760323209400321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","galihholic_23",133,TRUE,FALSE,NA,NA
"RT @do_ra_dong: Sebenarnya yang justru dikuatirkan adalah keselamatan Prabowo Subianto dan timnya 

Sudah dikriminalisasi, handphonenya dik…",FALSE,0,NA,2019-05-29 15:40:40,FALSE,NA,"1133760073019215872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YanniDeNiro",1026,TRUE,FALSE,NA,NA
"@Fahrihamzah Narasinya org gagal jd menteri penerangan dikarenakan prabowo subianto kmbli menyabet gelar Capres Abadi. .............. <U+0001F601> <U+0001F601>",FALSE,0,"Fahrihamzah",2019-05-29 15:39:12,FALSE,"1133758543146999810","1133759704746692608","120968478","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Islam_07Sleman",0,FALSE,FALSE,NA,NA
"RT @Ayaniulva: *Tentang Prabowo Subianto: Indonesia Bisa Bubar Dan Punah*

*Dr. Ahmad Yani*
Politisi dan Praktisi Hukum

*Tulisan 21 Desemb…",FALSE,0,NA,2019-05-29 15:37:53,FALSE,NA,"1133759375431020544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kisabdopalon",120,TRUE,FALSE,NA,NA
"Ga sekalian aja kalian buat aliran kepercayaan baru yang Tuhannya bernama Prabowo Subianto?

Let me see your stupid… https://t.co/jGlWwqoiye",FALSE,0,NA,2019-05-29 15:37:15,TRUE,NA,"1133759214919094273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zaynaltair",0,FALSE,FALSE,NA,NA
"RT @do_ra_dong: Sebenarnya yang justru dikuatirkan adalah keselamatan Prabowo Subianto dan timnya 

Sudah dikriminalisasi, handphonenya dik…",FALSE,0,NA,2019-05-29 15:35:35,FALSE,NA,"1133758796562436096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marlanramazan",1026,TRUE,FALSE,NA,NA
