"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Emak2Anak2JadiTumbal
Presiden Joko Widodo (Jokowi) mengecam pelaku teror yang melibatkan anak-anak dalam melancarkan aksinya.",FALSE,0,NA,2019-05-29 17:28:00,FALSE,NA,"1133787084534231040",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","auliasaraswati5",2,FALSE,FALSE,NA,NA
"#Emak2Anak2JadiTumbal
Presiden Joko Widodo (Jokowi) mengecam pelaku teror yang melibatkan anak-anak dalam melancarkan aksinya.",FALSE,1,NA,2019-05-29 17:24:00,FALSE,NA,"1133786078010331142",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IslandBeby",1,FALSE,FALSE,NA,NA
"RT @randyhartono: https://t.co/NwXFKgB4Kw

https://t.co/7GEIHWU0vt
Petisi cabut kewarganegaraan Briziek

@disruptivesigna @DasarKita",FALSE,0,NA,2019-05-29 17:22:53,FALSE,NA,"1133785797830881280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","disruptivesigna",1,TRUE,FALSE,NA,NA
"https://t.co/NwXFKgB4Kw

https://t.co/7GEIHWU0vt
Petisi cabut kewarganegaraan Briziek

@disruptivesigna @DasarKita",FALSE,1,NA,2019-05-29 17:20:33,FALSE,NA,"1133785210498084867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","randyhartono",1,FALSE,FALSE,NA,NA
"Lamun siro sekti, ojo mateni
Lamun siro banter, ojo ndhisiki
Lamun siro pinter, ojo minteri

-Ir. Joko Widodo-",FALSE,0,NA,2019-05-29 17:02:31,FALSE,NA,"1133780669996314624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lutfyfaradilla",0,FALSE,FALSE,NA,NA
"RT @Kemenag_RI: Syamsuri Firdaus, Juara I MTQ Internasional di Istanbul Turki hari ini diterima Presiden Joko Widodo di Istana Negara. 

Fo…",FALSE,0,NA,2019-05-29 16:58:41,FALSE,NA,"1133779708078829569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","putihardhani",35,TRUE,FALSE,NA,NA
"RT @kataloper: Berikut kata Joko Widodo pada Hari Senin, 27 Mei 2019

https://t.co/BYyF0u56Q6 #Pilpres2019 #BeritagarID via @beritagarid ht…",FALSE,0,NA,2019-05-29 16:27:01,FALSE,NA,"1133771739689652224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeritagarID",1,TRUE,FALSE,NA,NA
"Petisi Tolak Jokowi Beredar, Tagar #JokowiMundurlah Trending di Twitter https://t.co/U5ie01f3Hx",FALSE,2,NA,2019-05-29 16:23:02,FALSE,NA,"1133770734231142401",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Aeqan13Eka",1,FALSE,FALSE,NA,NA
"Saya gak follow presiden Joko widodo karena dulu pernah satu kantor bapak saya....
Sedangkan bapak saya itu gak ada… https://t.co/Xp0bYVwihS",FALSE,0,NA,2019-05-29 16:20:45,TRUE,NA,"1133770159401758720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mfaisalemir",0,FALSE,FALSE,NA,NA
"@susipudjiastuti Semoga ibu msh tetap bersama PRESIDEN Republik INDONESIA Ir H Joko Widodo  Pereode 2019- 2024",FALSE,0,"susipudjiastuti",2019-05-29 16:09:37,FALSE,"1133443137655848960","1133767360874143744","2606229566","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CakFiq99",0,FALSE,FALSE,NA,NA
"RT @kaskus: [HOAKS] Cover Majalah TIME, Presiden Joko Widodo dengan tulisan ""A New Hopeless"" https://t.co/KcNcNri6hZ",FALSE,0,NA,2019-05-29 16:09:32,FALSE,NA,"1133767337339891712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kiky7770_",41,TRUE,FALSE,NA,NA
"@grasso_de @Julian303 @TeddyGusnaidi @Rtihb kalo saya mah yg penting bukan si joko widodo",FALSE,0,"grasso_de",2019-05-29 16:06:40,FALSE,"1133533604615675905","1133766616028631042","1004578792730288128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samm_indonesia",0,FALSE,FALSE,NA,NA
