"score","text","class"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
0,"rt sejumlah orang yang nama diri bagai aktivis lapor capres prabowo subianto dan sejumlah tokoh lain ke ba","Neutral"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
-4,"rt tentang prabowo subianto indonesia bisa bubar dan punah dari ahmad yani politis dan praktisi hukum tulis desemb","Negative"
3,"rt indonesian presidential election map by regency and city county peta menang pilpres dasar kabupaten kak","Positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
0," narasi orang gagal jadi menteri terang karena prabowo subianto kmbli sabet gelar capres abadi ","Neutral"
-4,"rt tentang prabowo subianto indonesia bisa bubar dan punah dari ahmad yani politis dan praktisi hukum tulis desemb","Negative"
4,"enggak kalian saja kalian buat alir percaya baru yang tuhan nama prabowo subianto let me sih your stupid ","Positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","Negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
-2,"sandiaga si uno mastik prabowo subianto tak akan lama ada di luar neger prabowokeluarnegeri ","Negative"
-5,"rt tim mawar rupa buah tim yang bentuk bawah grup iv komando pasuk khusus kopassus dasar perintah langsu","Negative"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","Negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","Negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
0,"edar foto prabowo subianto saat ada di viena austria ","Neutral"
0,"edar foto prabowo subianto saat ada di viena austria ","Neutral"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","Positive"
-1,"yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri ","Negative"
